file_name,pages,file_size_kb,has_text,word_count,character_count,status,error
25-ciss copy.pdf,2,27.44,True,1687,12508,Valid,
25-ciss.pdf,2,27.44,True,1687,12508,Valid,
40shydcs copy.pdf,2,23.68,True,1423,9660,Valid,
40shydcs.pdf,2,23.68,True,1423,9660,Valid,
a-gainer copy.pdf,2,27.42,True,1815,12824,Valid,
a-gainer.pdf,2,27.42,True,1815,12824,Valid,
a-pudu copy.pdf,1,21.16,True,954,7190,Valid,
a-pudu.pdf,1,21.16,True,954,7190,Valid,
a2ks copy.pdf,2,27.2,True,1480,11769,Valid,
a2ks.pdf,2,27.2,True,1480,11769,Valid,
aaas-assam copy.pdf,2,28.21,True,1992,13999,Valid,
aaas-assam.pdf,2,28.21,True,1992,13999,Valid,
aabcs copy.pdf,2,26.57,True,1661,12069,Valid,
aabcs.pdf,2,26.57,True,1661,12069,Valid,
aaby copy.pdf,2,25.5,True,1755,11675,Valid,
aaby.pdf,2,25.5,True,1755,11675,Valid,
aaelss copy.pdf,1,21.17,True,958,6840,Valid,
aaelss.pdf,1,21.17,True,958,6840,Valid,
aag copy.pdf,1,22.05,True,1093,7695,Valid,
aag.pdf,1,22.05,True,1093,7695,Valid,
aamgsiscs.pdf,1,20.08,True,868,6439,Valid,
aan copy.pdf,2,25.92,True,1468,10653,Valid,
aan.pdf,2,25.92,True,1468,10653,Valid,
aas copy.pdf,2,27.35,True,1858,12667,Valid,
aas.pdf,2,27.35,True,1858,12667,Valid,
aasfsv copy.pdf,1,19.7,True,756,5937,Valid,
aasfsv.pdf,1,19.7,True,756,5937,Valid,
aasra copy.pdf,2,27.97,True,2032,13420,Valid,
aasra.pdf,2,27.97,True,2032,13420,Valid,
aass copy.pdf,1,21.55,True,806,6602,Valid,
aass.pdf,1,21.55,True,806,6602,Valid,
aavy copy.pdf,1,19.25,True,758,5736,Valid,
aavy(1) copy.pdf,1,19.25,True,758,5736,Valid,
aavy(1).pdf,1,19.25,True,758,5736,Valid,
aavy(2) copy.pdf,1,19.25,True,758,5736,Valid,
aavy(2).pdf,1,19.25,True,758,5736,Valid,
aavy.pdf,1,19.25,True,758,5736,Valid,
aay-goa copy.pdf,1,21.09,True,965,7331,Valid,
aay-goa.pdf,1,21.09,True,965,7331,Valid,
abhb copy.pdf,2,28.41,True,2356,15426,Valid,
abhb.pdf,2,28.41,True,2356,15426,Valid,
abn copy.pdf,1,21.12,True,809,6049,Valid,
abn.pdf,1,21.12,True,809,6049,Valid,
absy copy.pdf,1,21.59,True,1008,7544,Valid,
absy.pdf,1,21.59,True,1008,7544,Valid,
abvky copy.pdf,2,28.9,True,2196,14633,Valid,
abvky.pdf,2,28.9,True,2196,14633,Valid,
acandabc copy.pdf,2,25.21,True,1350,10290,Valid,
acandabc.pdf,2,25.21,True,1350,10290,Valid,
acbbhses copy.pdf,1,21.07,True,1046,7690,Valid,
acbbhses(1) copy.pdf,1,21.07,True,1046,7690,Valid,
acbbhses(1).pdf,1,21.07,True,1046,7690,Valid,
acbbhses.pdf,1,21.07,True,1046,7690,Valid,
adacw copy.pdf,1,23.02,True,1270,9094,Valid,
adacw.pdf,1,23.02,True,1270,9094,Valid,
adas-glwb copy.pdf,1,21.31,True,1005,7562,Valid,
adas-glwb.pdf,1,21.31,True,1005,7562,Valid,
adasgbocwwb copy.pdf,1,19.83,True,759,6080,Valid,
adasgbocwwb.pdf,1,19.83,True,759,6080,Valid,
adbs-pbaocwwb copy.pdf,1,21.33,True,1123,8697,Valid,
adbs-pbaocwwb.pdf,1,21.33,True,1123,8697,Valid,
admptpfdap copy.pdf,1,19.85,True,852,6691,Valid,
admptpfdap.pdf,1,19.85,True,852,6691,Valid,
adow copy.pdf,1,21.56,True,1077,8032,Valid,
adow.pdf,1,21.56,True,1077,8032,Valid,
aduw-hbocwwb copy.pdf,1,19.94,True,822,6235,Valid,
aduw-hbocwwb.pdf,1,19.94,True,822,6235,Valid,
ae copy.pdf,3,37.83,True,3051,22557,Valid,
ae(1) copy.pdf,3,37.83,True,3051,22557,Valid,
ae(1).pdf,3,37.83,True,3051,22557,Valid,
ae.pdf,3,37.83,True,3051,22557,Valid,
aelss copy.pdf,1,19.15,True,771,5500,Valid,
aelss.pdf,1,19.15,True,771,5500,Valid,
aems copy.pdf,1,18.9,True,596,5019,Valid,
aems.pdf,1,18.9,True,596,5019,Valid,
aes copy.pdf,1,20.12,True,879,6480,Valid,
aes.pdf,1,20.12,True,879,6480,Valid,
aewc-mesifai-vi copy.pdf,2,26.25,True,1691,12582,Valid,
aewc-mesifai-vi.pdf,2,26.25,True,1691,12582,Valid,
afag copy.pdf,1,22.18,True,1338,9107,Valid,
afag.pdf,1,22.18,True,1338,9107,Valid,
affdf copy.pdf,1,22.99,True,1234,9184,Valid,
affdf-serious-disease-treatment copy.pdf,1,22.08,True,1012,7733,Valid,
affdf-serious-disease-treatment.pdf,1,22.08,True,1012,7733,Valid,
affdf.pdf,1,22.99,True,1234,9184,Valid,
afm copy.pdf,1,18.61,True,769,5889,Valid,
afm.pdf,1,18.61,True,769,5889,Valid,
afpoaa copy.pdf,1,20.83,True,804,6371,Valid,
afpoaa.pdf,1,20.83,True,804,6371,Valid,
ag copy.pdf,1,19.95,True,798,6100,Valid,
ag.pdf,1,19.95,True,798,6100,Valid,
agfiscmpwa copy.pdf,2,24.75,True,1483,10331,Valid,
agfiscmpwa.pdf,2,24.75,True,1483,10331,Valid,
agr2fmsfotscst copy.pdf,2,24.54,True,1250,9528,Valid,
agr2fmsfotscst.pdf,2,24.54,True,1250,9528,Valid,
agr3fmsstf copy.pdf,2,25.75,True,1380,10539,Valid,
agr3fmsstf.pdf,2,25.75,True,1380,10539,Valid,
agr4fmsscf copy.pdf,2,24.37,True,1236,9443,Valid,
agr4fmsscf.pdf,2,24.37,True,1236,9443,Valid,
agr50s-apt copy.pdf,1,23.37,True,1269,9271,Valid,
agr50s-apt.pdf,1,23.37,True,1269,9271,Valid,
agroforestry copy.pdf,2,25.49,True,1479,11042,Valid,
agroforestry.pdf,2,25.49,True,1479,11042,Valid,
ags copy.pdf,2,25.69,True,1837,11733,Valid,
ags.pdf,2,25.69,True,1837,11733,Valid,
ahs copy.pdf,2,25.98,True,1622,10856,Valid,
ahs.pdf,2,25.98,True,1622,10856,Valid,
ahst copy.pdf,1,20.97,True,915,7095,Valid,
ahst.pdf,1,20.97,True,915,7095,Valid,
ahstc-dc copy.pdf,1,20.4,True,922,7065,Valid,
ahstc-dc.pdf,1,20.4,True,922,7065,Valid,
ai-rtf copy.pdf,2,33.05,True,2544,18387,Valid,
ai-rtf.pdf,2,33.05,True,2544,18387,Valid,
ai-tgses copy.pdf,1,21.88,True,1055,7859,Valid,
ai-tgses.pdf,1,21.88,True,1055,7859,Valid,
aicte-spices copy.pdf,3,38.03,True,3559,23653,Valid,
aicte-spices.pdf,3,38.03,True,3559,23653,Valid,
aicte-ssss copy.pdf,2,27.28,True,1737,12099,Valid,
aicte-ssss.pdf,2,27.28,True,1737,12099,Valid,
aif copy.pdf,2,31.37,True,2336,16432,Valid,
aif.pdf,2,31.37,True,2336,16432,Valid,
aiideals copy.pdf,3,35.89,True,2903,20150,Valid,
aiideals.pdf,3,35.89,True,2903,20150,Valid,
aillam copy.pdf,1,21.04,True,921,7012,Valid,
aillam.pdf,1,21.04,True,921,7012,Valid,
aimpwbdop copy.pdf,1,22.53,True,1263,8901,Valid,
aimpwbdop.pdf,1,22.53,True,1263,8901,Valid,
aipbo-faascdmf copy.pdf,1,22.0,True,1213,9052,Valid,
aipbo-faascdmf.pdf,1,22.0,True,1213,9052,Valid,
aipps-mesifai-vi copy.pdf,2,25.39,True,1474,11128,Valid,
aipps-mesifai-vi.pdf,2,25.39,True,1474,11128,Valid,
airavata copy.pdf,1,20.39,True,809,5911,Valid,
airavata.pdf,1,20.39,True,809,5911,Valid,
aius copy.pdf,1,19.43,True,681,5610,Valid,
aius.pdf,1,19.43,True,681,5610,Valid,
ak copy.pdf,1,21.33,True,971,7129,Valid,
ak.pdf,1,21.33,True,971,7129,Valid,
akbhcy copy.pdf,1,20.14,True,834,6600,Valid,
akbhcy.pdf,1,20.14,True,834,6600,Valid,
akgbcsy copy.pdf,1,20.16,True,871,6572,Valid,
akgbcsy.pdf,1,20.16,True,871,6572,Valid,
akmeds copy.pdf,1,19.82,True,810,6278,Valid,
akmeds.pdf,1,19.82,True,810,6278,Valid,
akpsy copy.pdf,1,19.58,True,743,5858,Valid,
akpsy.pdf,1,19.58,True,743,5858,Valid,
aks copy.pdf,1,21.3,True,1129,8106,Valid,
aks.pdf,1,21.3,True,1129,8106,Valid,
aksmsy copy.pdf,1,19.11,True,701,5470,Valid,
aksmsy.pdf,1,19.11,True,701,5470,Valid,
aksphssy copy.pdf,1,19.41,True,757,5930,Valid,
aksphssy.pdf,1,19.41,True,757,5930,Valid,
aktinf copy.pdf,2,25.27,True,1310,10032,Valid,
aktinf.pdf,2,25.27,True,1310,10032,Valid,
ala copy.pdf,2,30.04,True,2026,15341,Valid,
ala.pdf,2,30.04,True,2026,15341,Valid,
alaes copy.pdf,1,22.95,True,1161,8702,Valid,
alaes.pdf,1,22.95,True,1161,8702,Valid,
alsias.pdf,1,22.18,True,1169,8766,Valid,
am-gris copy.pdf,1,21.65,True,958,7117,Valid,
am-gris.pdf,1,21.65,True,958,7117,Valid,
amas-haryana copy.pdf,2,27.14,True,1723,12362,Valid,
amas-haryana.pdf,2,27.14,True,1723,12362,Valid,
amas-pbaocwwb copy.pdf,2,25.02,True,1441,10581,Valid,
amas-pbaocwwb.pdf,2,25.02,True,1441,10581,Valid,
amcmcy copy.pdf,1,20.23,True,778,6117,Valid,
amcmcy.pdf,1,20.23,True,778,6117,Valid,
amcsy copy.pdf,1,21.02,True,893,6658,Valid,
amcsy.pdf,1,21.02,True,893,6658,Valid,
ami copy.pdf,2,25.67,True,1308,9877,Valid,
ami.pdf,2,25.67,True,1308,9877,Valid,
amrut copy.pdf,2,25.83,True,1526,11215,Valid,
amrut.pdf,2,25.83,True,1526,11215,Valid,
ams copy.pdf,2,29.83,True,2211,16110,Valid,
ams.pdf,2,29.83,True,2211,16110,Valid,
amsmhsslc copy.pdf,1,22.44,True,1162,8351,Valid,
amsmhsslc.pdf,1,22.44,True,1162,8351,Valid,
anby copy.pdf,1,20.17,True,685,5191,Valid,
anby.pdf,1,20.17,True,685,5191,Valid,
aniadws.pdf,1,19.39,True,841,6192,Valid,
anidas.pdf,1,21.67,True,1143,8339,Valid,
anioaas.pdf,1,20.09,True,925,6613,Valid,
anishi copy.pdf,2,23.5,True,1313,9391,Valid,
anishi.pdf,2,23.5,True,1313,9391,Valid,
aniwps.pdf,1,19.33,True,776,5842,Valid,
anky copy.pdf,1,21.49,True,1112,8659,Valid,
anky.pdf,1,21.49,True,1112,8659,Valid,
aocpscgs.pdf,1,21.47,True,1097,7929,Valid,
aos copy.pdf,2,28.63,True,2021,13411,Valid,
aos.pdf,2,28.63,True,2021,13411,Valid,
ap-msscssvixsgsgrpsutp.pdf,1,20.44,True,970,7063,Valid,
apch-gbocwwb copy.pdf,1,21.51,True,1102,8121,Valid,
apch-gbocwwb.pdf,1,21.51,True,1102,8121,Valid,
apchapbandocwwb copy.pdf,1,19.89,True,833,6142,Valid,
apchapbandocwwb.pdf,1,19.89,True,833,6142,Valid,
